CustomerID,Lookalikes
C0001,"[('C0069', 0.9999999934340833), ('C0120', 0.9999999920957613), ('C0028', 0.999999986848044)]"
C0002,"[('C0029', 0.9999999730366043), ('C0176', 0.9999999697293234), ('C0034', 0.9999999643193443)]"
C0003,"[('C0031', 0.9999999800265182), ('C0025', 0.9999999601601218), ('C0136', 0.9999999592229171)]"
C0004,"[('C0175', 0.9999999937603702), ('C0169', 0.9999999926262993), ('C0017', 0.9999999922364803)]"
C0005,"[('C0069', 0.9999999890676642), ('C0127', 0.9999999826474052), ('C0026', 0.9999999761942844)]"
C0006,"[('C0126', 0.9999999998071625), ('C0171', 0.9999999961651773), ('C0118', 0.9999999958529029)]"
C0007,"[('C0146', 0.9999999999398864), ('C0048', 0.9999999917003831), ('C0184', 0.9999999857705615)]"
C0008,"[('C0113', 0.9999999935751915), ('C0086', 0.9999999910000513), ('C0160', 0.9999999891068196)]"
C0009,"[('C0198', 0.9999999910572126), ('C0150', 0.9999998103756369), ('C0092', 0.9999996923016391)]"
C0010,"[('C0049', 0.9999999256230946), ('C0144', 0.9999996176104352), ('C0091', 0.9999995921568353)]"
C0011,"[('C0139', 0.9999999996905262), ('C0057', 0.9999999979920058), ('C0173', 0.9999999945279984)]"
C0012,"[('C0065', 0.9999999922288899), ('C0179', 0.9999999764623643), ('C0182', 0.9999999759989996)]"
C0013,"[('C0099', 0.9999999917436528), ('C0183', 0.9999999888260188), ('C0054', 0.9999999782703181)]"
C0014,"[('C0025', 0.9999960782777401), ('C0110', 0.9999957800646392), ('C0031', 0.9999956851419175)]"
C0015,"[('C0063', 0.9999999756014407), ('C0131', 0.9999999283609394), ('C0167', 0.9999999076380265)]"
C0016,"[('C0040', 0.9999999980738643), ('C0141', 0.999999985158136), ('C0042', 0.9999999840009394)]"
C0017,"[('C0169', 0.9999999999312847), ('C0165', 0.9999999966259216), ('C0161', 0.9999999934346566)]"
C0018,"[('C0041', 0.9999999986237953), ('C0090', 0.9999999942467043), ('C0024', 0.9999999932056671)]"
C0019,"[('C0142', 0.9999999927871743), ('C0073', 0.9999999835325953), ('C0071', 0.9999999665119663)]"
C0020,"[('C0130', 0.9999998298120051), ('C0005', 0.999999806643764), ('C0146', 0.9999997485314462)]"
